,date,num,match,remark
0,20200101,1,0,法定节假日
1,20200102,2,1,工作日
2,20200103,3,3,
3,20200104,4,0,休息日
4,20200105,5,0,休息日
5,20200106,6,6,
6,20200107,7,4,工作日
7,20200108,8,5,工作日
8,20200109,9,6,工作日
9,20200110,10,7,工作日
10,20200111,11,0,休息日
11,20200112,12,0,休息日
12,20200113,13,8,工作日
13,20200114,14,9,工作日
14,20200115,15,10,工作日
15,20200116,16,11,工作日
16,20200117,17,12,工作日
17,20200118,18,0,休息日
18,20200119,19,13,工作日
19,20200120,20,14,工作日
20,20200121,21,15,工作日
21,20200122,22,16,工作日
22,20200123,23,17,工作日
23,20200124,24,0,休息日
24,20200125,25,0,法定节假日
25,20200126,26,0,法定节假日
26,20200127,27,0,法定节假日
27,20200128,28,0,休息日
28,20200129,29,0,休息日
29,20200130,30,0,休息日
30,20200131,31,0,休息日
31,20200201,32,0,休息日
32,20200202,33,0,休息日
33,20200203,34,18,工作日
34,20200204,35,19,工作日
35,20200205,36,20,工作日
36,20200206,37,21,工作日
37,20200207,38,22,工作日
38,20200208,39,0,休息日
39,20200209,40,0,休息日
40,20200210,41,23,工作日
41,20200211,42,24,工作日
42,20200212,43,25,工作日
43,20200213,44,26,工作日
44,20200214,45,27,工作日
45,20200215,46,0,休息日
46,20200216,47,0,休息日
47,20200217,48,28,工作日
48,20200218,49,29,工作日
49,20200219,50,30,工作日
50,20200220,51,31,工作日
51,20200221,52,32,工作日
52,20200222,53,0,休息日
53,20200223,54,0,休息日
54,20200224,55,33,工作日
55,20200225,56,34,工作日
56,20200226,57,35,工作日
57,20200227,58,36,工作日
58,20200228,59,37,工作日
59,20200229,60,0,休息日
60,20200301,61,0,休息日
61,20200302,62,38,工作日
62,20200303,63,39,工作日
63,20200304,64,40,工作日
64,20200305,65,41,工作日
65,20200306,66,42,工作日
66,20200307,67,0,休息日
67,20200308,68,0,休息日
68,20200309,69,43,工作日
69,20200310,70,44,工作日
70,20200311,71,45,工作日
71,20200312,72,46,工作日
72,20200313,73,47,工作日
73,20200314,74,0,休息日
74,20200315,75,0,休息日
75,20200316,76,48,工作日
76,20200317,77,49,工作日
77,20200318,78,50,工作日
78,20200319,79,51,工作日
79,20200320,80,52,工作日
80,20200321,81,0,休息日
81,20200322,82,0,休息日
82,20200323,83,53,工作日
83,20200324,84,54,工作日
84,20200325,85,55,工作日
85,20200326,86,56,工作日
86,20200327,87,57,工作日
87,20200328,88,0,休息日
88,20200329,89,0,休息日
89,20200330,90,58,工作日
90,20200331,91,59,工作日
91,20200401,92,60,工作日
92,20200402,93,61,工作日
93,20200403,94,62,工作日
94,20200404,95,0,法定节假日
95,20200405,96,0,休息日
96,20200406,97,0,休息日
97,20200407,98,63,工作日
98,20200408,99,64,工作日
99,20200409,100,65,工作日
100,20200410,101,66,工作日
101,20200411,102,0,休息日
102,20200412,103,0,休息日
103,20200413,104,67,工作日
104,20200414,105,68,工作日
105,20200415,106,69,工作日
106,20200416,107,70,工作日
107,20200417,108,71,工作日
108,20200418,109,0,休息日
109,20200419,110,0,休息日
110,20200420,111,72,工作日
111,20200421,112,73,工作日
112,20200422,113,74,工作日
113,20200423,114,75,工作日
114,20200424,115,76,工作日
115,20200425,116,0,休息日
116,20200426,117,77,工作日
117,20200427,118,78,工作日
118,20200428,119,79,工作日
119,20200429,120,80,工作日
120,20200430,121,81,工作日
121,20200501,122,0,法定节假日
